Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews
Women'S Adidas Originals Nmd_R1 Stlt Primeknit Shoes,CQ2030,15999.0,7999.0,0.5,Adidas Originals,4.7,82
Women'S Adidas Originals Sleek Shoes,EE5292,7599.0,4559.0,0.4,Adidas Originals,3.6,69
Women'S Adidas Originals N-5923 Shoes,BD8041,7599.0,3799.0,0.5,Adidas Originals,2.8,21
Women'S Adidas Originals Swift Run Shoes,B37719,7599.0,4559.0,0.4,Adidas Originals,2.7,88
Women'S Adidas Originals Sleek Super Shoes,EE4505,7999.0,4799.0,0.4,Adidas Originals,3.7,32
Women'S Adidas Swim Jung Slippers,CM0072,999.0,499.0,0.5,Adidas Core / Neo,3.2,20
Women'S Adidas Sport Inspired Questar Flow Shoes,EF0795,6599.0,3959.0,0.4,Adidas Core / Neo,2.9,44
Women'S Adidas Originals Forest Grove Shoes,EE5875,6599.0,3959.0,0.4,Adidas Originals,1.5,69
Women'S Adidas Originals Marathon Tech Shoes,EE4947,11999.0,7199.0,0.4,Adidas Originals,4.3,66
Women'S Adidas Sport Inspired Glenn W Shoes,CM6627,2499.0,1749.0,0.3,Adidas Core / Neo,3.4,65
Women'S Adidas Originals Nmd_Cs2 Pk Shoes,CQ2039,16999.0,8499.0,0.5,Adidas Originals,5.0,56
Women'S Adidas Originals Sleek Shoes,CG6193,7599.0,5319.0,0.3,Adidas Originals,1.0,15
Women'S Adidas Originals Superstar Bounce Pk Low Shoes,S82260,11999.0,4800.0,0.6,Adidas Originals,3.5,51
Women'S Adidas Originals I-5923 Shoes,EE4945,11999.0,7199.0,0.4,Adidas Originals,3.4,84
Women'S Adidas Originals Sambarose Shoes,EE7155,7999.0,4799.0,0.4,Adidas Originals,1.0,57
Women'S Adidas Sport Inspired Energy Cloud V Shoes,B44846,5999.0,2999.0,0.5,Adidas Core / Neo,3.2,43
Women'S Adidas Originals Supercourt Shoes,EE6044,7999.0,4799.0,0.4,Adidas Originals,4.0,83
Women'S Adidas Originals Falcon Shoes,EH0192,10999.0,6599.0,0.4,Adidas Originals,3.7,14
Women'S Adidas Originals Sambarose Shoes,EE7045,7999.0,4799.0,0.4,Adidas Originals,2.5,62
Women'S Adidas Sport Inspired Drogo Shoes,CL7646,2699.0,2159.0,0.2,Adidas Core / Neo,2.8,49
Women'S Adidas Running Hyperon 1.0 Shoes,CL7346,2999.0,2399.0,0.2,Adidas Core / Neo,2.7,37
Women'S Adidas Originals Deerupt Runner Shoes,EE5777,8999.0,5399.0,0.4,Adidas Originals,2.8,38
Women'S Adidas Originals Eqt Support Sock Primeknit Shoes,AQ1210,9999.0,4999.0,0.5,Adidas Originals,2.9,88
Women'S Adidas Originals Supercourt Shoes,EF5925,7999.0,5599.0,0.3,Adidas Originals,4.3,98
Women'S Adidas Originals Pod-S3.1 Shoes,EE7032,11999.0,7199.0,0.4,Adidas Originals,3.6,93
Women'S Adidas Originals Stan Smith Shoes,EE7708,7999.0,4799.0,0.4,Adidas Originals,4.1,18
Women'S Adidas Originals Nmd_R1 Stlt Primeknit Shoes,AQ1119,12999.0,6499.0,0.5,Adidas Originals,3.7,23
Women'S Adidas Originals Swift Run Shoes,F34311,7999.0,3999.0,0.5,Adidas Originals,3.6,59
Women'S Adidas Sport Inspired Drogo Shoes,CL7645,2699.0,2159.0,0.2,Adidas Core / Neo,4.6,90
Women'S Adidas Originals Sambarose Zip Shoes,EE5089,8999.0,5399.0,0.4,Adidas Originals,3.7,37
Men'S Adidas Running Rey Shoes,CL7565,4999.0,2499.0,0.5,Adidas Core / Neo,3.0,47
Women'S Adidas Originals Continental 80 Shoes,G27727,7999.0,3999.0,0.5,Adidas Originals,4.6,46
Women'S Adidas Originals Samba Og Shoes,B44697,7999.0,3999.0,0.5,Adidas Originals,0.0,85
